Author Username,Comment,Rating,Date
anita_azrina,"Taste:delicious
Quality:good

Parcel da selamat sampai dan sgt cepat.
Packaging yg selamat dan penghantaran yg cepat.
Dah cuba rasa sedap tak manis.
Sambal hijau kurang pedas
Sambal merah pedas skit dr sambal hijau.
Kalau dpt bg extra pedas lagi syok
Recommended seller 👍 Tq",5,1688382244
asyrafringo88,"Quality:Terbaik!!
Taste:Sedap, tekak tgh xsedap pun rasa sedap

Produk ini sgt sedap, sehinggakan sy beli byk2 utk buat stok simpanan di rumah. Dah rasa yg merah, pedas sikit dari hijau. sy jenis xmakan pedas. Jadi hijau menjadi pilihan hati saya. Yg merah kita bt pes masak.",5,1697200282
syamil1989,"Taste:perfect
Quality:the best

Macam biasa rasa sambal tak bergula ni memang sedap dan berhantu. Rasa dia nak tambah je sambal tapi bahaya la kalau berlebih kan. Keep it up",5,1698240163
m*****a,"Taste:untuk yang sangat² tak tahan pedas boleh try sambal ijau ni.
Quality:ok je.

Dah sampai lama. Bayar malam, esoknya terus pos. Sampai dalam keadaan baik. Tapi tunggu try makan dulu baru bagi review. Rasa tu ok tapi mungkin boleh upgrade lagi kot mana yang perlu. Untuk yang suka makan pedas tapi tak tahan pedas, mungkin boleh combine dengan sambal merah sebab yang ni memang tak pedas. Teksture sambal halus macam pes. Harini try buat nasi goreng pulak guna sambal minang. Pun sedap.",5,1696379181
asyrafringo88,"Taste:Serius sedap
Quality:Tip top

Tak pedas sgt , sedap2 tekak. Tak sakit perut. Bungkusan well wrapped. Harga berpatutan, baru buka separuh bekas dh habis, tak berbaloi beli satu, beli byk2 lain kali. Will repeat order.",5,1696058776
nadzmianuar98,"Taste:Ada rasa tersendiri. Rasa lain dari sambal2 biasa. Alhamdulillah sedap.
Quality:3 4 hari lepas order dh smpai. Packaging tiptop.",5,1696507977
syamil1989,"Taste:sedan dan lazat
Quality:terbaik

Saya pada asalnya tak minat sambal tak manis tapi ni kali pertama saya suka sambal takde gula. Memang sangat sedap dan berbaloi. Rasa nak beli lagi",5,1687517621
shamsulfa,"Quality:best quality
Taste:taste good & not spicy

Fast delivery by seller! Good packaging with bubblewrap! Product as described! Taste good & not spicy! Suitable for kid too! Prefer the red chilis, taste really-really good! Local product & halal! Recommended 👍🏼👍🏼",5,1690762728
faiz120180,"Quality:nampak kemas
Taste:menjilat jari kaki (Kaki Ayam)

Packing mantap...banyak bubble wrap...botol kaca sampai dgn selamat Tqsm seller Afiq & haris Walado... akhir nya dapat gak buek raso²...",5,1695643297
nujaeila,"Taste:sedap dan pedas.
Quality:terbaik.

first time beli sebab duta Cili Lado ni. suka penulisan dia.
dah try sikit. memang sedap. untuk yang suka pedas, memang layan.
harga murah yakmat beli masa sesi live.
recommend untuk siapa yang belum cuba dan inshaaAllah nanti kita repeat lagi or try warna merah pulak.",5,1695978806
asyrafringo88,"Taste:Delicious
Quality:Yy pang

Pembelian ke 4, kerana resah balang ke dua sudah dibuka, risau bekalan putus, jadi tambah stok sedia ada.",5,1696739142
fluffybunny31,"Barang sampai cepat & bungkus baik 👍, malam ni terus try rasa. Dah jadi walado dah sekarang.",5,1694944174
abuz96,"Quality:Terbaik 👍🏼
Taste:sedap 👍🏼

Alhamdulillah sambal minang dah sampai dua hari yang lalu dalam keadaan baik dengan cara pembungkusan sambal minang yang kemas . Terbaik ,Terima Kasih 😄👍🏼",5,1699534590
s*****l,"Taste:sedap
Quality:baik

Alhamdulillah barang sampai dengan selamat. Kemas balut. Tebal. Rasa terbaik. Puas hati dah pernah rasa hijau & merah. Tp suka merah lagi sbb pedas sikit. Tapi bukan lah pedas teruk. Sdp boleh guna utk masakan.",5,1695895556
asyrafringo88,"Taste:Sedap
Quality:Terbaik

Pembelian ketiga. Kelmarin punya botol baru buka, semalam dh habis. Berhantu sambal dia. Tau2 tggl balang je, isi dalam dh habis.",5,1696144908
syamil1989,"Quality:sedap terbaik
Taste:tak manis dan pedas biasa

Kali kedua beli alhamdulillah tak sabar nak makan dengan nasik putih dan telur goreng",5,1690330849
j*****i,"Taste:Good
Quality:Great

Good delivery Package. Memang solid dan secured. Rasanya pula masam pedas sedikit manis. Good instant solution utk sesiapa yang nak merasa lokal walau terbang jauh di luar negara. Recommended. Nak guna sebagai paste untuk masakan sayuran, ayam, daging atau seafood pun boleh.",5,1688059421
fairoz87,"Taste:Sedap
Quality:Terbaik

Saya skeptik mulanya pasal sambal ni. sebab selain sambal satu lagi yang famous tu, rata² sambal lain kat pasaran semua rasa sama. Tapi yang ni memang lain. dia bukan jenis kasar macam sambal penyet. tekstur dia halus. tak manis, tapi cukup rasa. tak pedas tapi cukup umphh jugak. saya baru bukak dah tinggal separuh botol. harap rasa dan kualiti maintain. nanti boleh repeat, kot² ada sale😃🤭",5,1687778459
asyrafringo88,"Quality:Bungkusan 5 🌟🌟🌟🌟🌟
Taste:Ummmmm.. Sedap beb

Produk ini sgt sedap, sehinggakan sy beli byk2 utk buat stok simpanan di rumah. Dah rasa yg merah, pedas sikit dari hijau. sy jenis xmakan pedas. Jadi hijau menjadi pilihan hati saya. Yg merah kita bt pes masak.",5,1697200434
j*****e,"Taste:ok

Barang dibungkus dengan bubble wrap yang tebal.
Safety yang sangat baik.
Rasa tak tau lagi sebab belum try.",5,1696412148
dormameow,"Quality:nice wrapping dia kukuh
Taste:hijau tak pedas merah okok je.. terbaik bang semoga murah rezeki saya geng walado",5,1691759268
nikjanahhzhkn,"Quality:Nampak OK tp tudung sambal merah kemek sikit
Taste:Belum rasa nampak macam sedap",4,1687816690
f*****e,"Quality:Good
Taste:Hopefully sedap

Pckaging sangat kemas
Delivery pantas 
1st time nak try!",5,1699010624
muhammadsyarifchesuliman,"Quality:good packaging . Wrapping terbaik
Taste:belum cuba",5,1695263513
suesani8177,"Quality:terbaikkk..
Taste:sadap

Barang sampai dalam keadaan baik..sambal minang yg sedap..mkn dengan petai memang terbaik..tak perlu lagi saya buat sambal petai hijau, sebab dah ada sambal minang hijau..😊👍👍",5,1696203346
a*****n,"Quality:terbaik 4/5
Taste:pedas sederhana

Sambal memang tiada manis gula dan ada rasa masam. Sedap, makan dengan nasi telur kosong pun dah sedap. Tak pernah buat tumis lagi. Yg best sebab tiada gula. Jadi yg biasa suka sambal manis mungkin sambal ini bukan pilihan. Nanti nak try beli yg merah pulak. Haritu dah order, hari sepatutnya delivery shopee canselkan sebab item mungkin dah pecah. Tq free gift",5,1695511291
zati.amran,"Taste:100 % sedap
Quality:Tip top. Packaging bagus, takde leaking.

Saya dah 3kali repeat beli. Dalam banyak² sambal, ni sambal pertama yg husband pon suka, sebab ianya lain dari yg lain. Sambal ni takde gula. Texture nya halus, tak ada biji cili (which is biji cili tak elok untuk badan kita if pengambilan yg berterusan). So, thats why me and my husband choosing this kind of sambal. 💯👍thanks for making this sambal ⭐️⭐️⭐️⭐️⭐️",5,1695161088
ardy6969,"Taste:Good
Quality:Excellent

The green sambal is not spicy at all, in fact the chili is drowned by the acidity from the lime and tomato. It's a good entry sambal for those who want a condiment for their food, a sort of flavour enhancer. Even without sugar, you can still taste some level of sweetness, most likely from the caramelized shallots. 

I have yet to taste the red one, will do so once the green is gone.",5,1695043405
bushido2884,"Taste:pedas n sedap
Quality:padu

Beli 2 tp live lain2 padu mkn ng nasibgoreng plus ikan toman . Giler murahbsambal diskqun 15 kot. Bayar dlm rm10 ja

Punca dari duskot",5,1696135312
shimahassan68,"Quality:terbaik
Taste:sedap

Sambal minang hijau tak pedas tapi aromanya memang macam sambal... sambal minang merah pedas tak lah menyengat sangat tapi sedap... auto jadi Walado",5,1695892989
noorsaadahexclusive,"Quality:excellent
Taste:sedap bak hang 👍🏽

Sambal minang yang sedap.. anak suka sangat sangat.. makan nasi kosong dengan sambal pun berselera.. tadi dia makan dengan wheat bread 🥪 sapu sambal minang merah.. fuhhh 👍🏽👍🏽 sedap.. thanks Duskot yang tak berenti promote suruh beli 👍🏽 and thanks seller rajin melayan message buyer kat dm 😁👍🏽👍🏽..

P/S: boleh dapat dak jersi sambal minang ehhe 🤭",5,1696712866
